,Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_SA,T0_V,T0_Vcx,T0_SAcx,T6_TLE,T6_SA,T6_V,T6_Vcx,T6_SAcx,T12_TLE,T12_SA,T12_V,T12_Vcx,T12_SAcx,T12_Dead,T12_TOD,CulumativeBreaks,T12_Status,X,T0_FieldTLE,T6_FieldTLE,T0_Vinter,T6_Vinter,T12_Vinter,TLE_0.6,SA_0.6,V_0.6,Vinter_0.6,SAtoV_0.6,TLE_6.12,SA_6.12,V_6.12,Vinter_6.12,SAtoV_6.12,TLE_0.12,SA_0.12,V_0.12,Vinter_0.12,SAtoV_0.12,SAtoTLE_0.6,SAtoTLE_6.12,SAtoTLE_0.12,FieldTLE_0.6,Status
34,Dave's Ledge,5,1,1,1,18,3D,15.385,47.091,10.443,29.162,54.106,33.378,106.217,29.983,126.257,137.32,84.104,284.227,70.564,458.475,313.378,0,13,1,A,,15.4,33.2,18.719,96.274,387.911,17.993,59.126,19.54,77.555,-0.966762272,50.726,178.01,40.581,291.637,0.485357965,68.719,237.136,60.121,369.192,-0.481404308,3.286055688,3.509245752,3.450806909,17.8,Broken
35,Dave's Ledge,6,1,7,3,18,3D,6.218,22.789,5.052,8.854,25.618,23.351,74.204,21.461,102.872,119.717,34.576,142.187,46.206,184.587,173.419,0,13,0,A,,5.2,25.4,3.802,81.411,138.381,17.133,51.415,16.409,77.609,-1.053265977,11.225,67.983,24.745,56.97,-0.38037975,28.358,119.398,41.154,134.579,-1.433645727,3.00093387,6.056391982,4.21038155,20.2,Unbroken
36,Dave's Ledge,7,1,36,6,20,3D,10.274,36.687,9.987,22.518,51.555,16.767,64.78,22.004,66.703,91.67,54.581,192.877,63.136,313.207,255.831,0,13,1,A,,10.1,18.5,12.531,44.699,250.071,6.493,28.093,12.017,32.168,-0.729465338,37.814,128.097,41.132,205.372,0.110934701,44.307,156.19,53.149,237.54,-0.618530637,4.326659479,3.387554874,3.525176609,8.4,Broken
37,Dave's Ledge,8,1,41,7,18,3D,14.141,38.263,9.484,27.213,53.411,29.397,99.191,26.752,137.017,145.642,16.511,53.787,13.954,53.435,85.08,0,13,1,A,,15.1,27.4,17.729,110.265,39.481,15.256,60.928,17.268,92.536,-0.326681575,-12.886,-45.404,-12.798,-70.784,0.146796117,2.37,15.524,4.47,21.752,-0.179885458,3.993707394,3.523513891,6.55021097,12.3,Broken
38,Dave's Ledge,9,1,13,4,19,3D,8.689,34.369,7.068,15.111,38.65,1.265,12.011,3.825,5.099,20.548,7.587,22.196,6.916,13.104,33.898,0,13,1,A,,10.7,1.2,8.043,1.274,6.188,-7.424,-22.358,-3.243,-6.769,-1.722489541,6.322,10.185,3.091,4.914,0.069238859,-1.102,-12.173,-0.152,-1.855,-1.653250683,3.011584052,1.61104081,11.04627949,-9.5,Broken
39,Dave's Ledge,11,2,1,1,20,3D,5.404,16.816,3.931,6.951,21.831,22.075,77.906,19.342,104.986,119.438,9.763,39.427,7.738,23.635,46.776,0,13,1,A,,5.6,26.2,3.02,85.644,15.897,16.671,61.09,15.411,82.624,-0.249976793,-12.312,-38.479,-11.604,-69.747,1.067429132,4.359,22.611,3.807,12.877,0.817452339,3.664447244,3.125324886,5.187198899,20.6,Broken
40,Dave's Ledge,13,2,3,2,18,3D,6.54,35.297,10.51,19.41,43.559,21.741,95.445,36.822,135.169,145.348,22.778,97.707,32.954,119.956,137.174,0,13,0,A,,8.1,15.2,8.9,98.347,87.002,15.201,60.148,26.312,89.447,-0.766356025,1.037,2.262,-3.868,-11.345,0.372886617,16.238,62.41,22.444,78.102,-0.393469408,3.956844944,2.181292189,3.843453627,7.1,Unbroken
41,Dave's Ledge,16,2,41,7,28, 3D,7.41,25.74,5.004,14.563,36.412,11.739,42.847,12.469,35.585,62.975,20.644,69.757,20.448,72.044,97.784,0,13,1,A,,10.5,10.5,9.559,23.116,51.596,4.329,17.107,7.465,13.557,-1.707602913,8.905,26.91,7.979,28.48,-0.024848098,13.234,44.017,15.444,42.037,-1.732451011,3.951720952,3.02189781,3.326054103,0,Broken
42,Dave's Ledge,18,2,13,4,21,3D,8.141,20.493,4.874,8.777,27.886,16.853,59.476,14.737,77.16,104.616,30.24,111.514,30.253,177.403,171.273,0,13,1,A,,7.7,15.8,3.903,62.423,147.15,8.712,38.983,9.863,58.52,-0.168726593,13.387,52.038,15.516,84.727,-0.349780523,22.099,91.021,25.379,143.247,-0.518507116,4.474632691,3.887204004,4.118783655,8.1,Broken
43,Dave's Ledge,20,2,36,6,17,3D,5.461,21.214,5.699,9.747,28.031,8.413,36.104,11.637,30.223,54.857,23.032,91.851,28.904,105.686,123.036,0,13,1,A,,5.5,8.7,4.048,18.586,76.782,2.952,14.89,5.938,14.538,-0.619889609,14.619,55.747,17.267,58.196,0.07527763,17.571,70.637,23.205,72.734,-0.544611979,5.04403794,3.813325125,4.020089921,3.2,Broken
44,Dave's Ledge,23,3,3,2,19,3D,5.492,27.963,7.369,11.269,30.889,2.549,16.876,4.162,7.769,30.318,11.006,46.232,10.127,30.348,56.532,0,13,0,A,,6,3.1,3.9,3.607,20.221,-2.943,-11.087,-3.207,-0.293,0.260100937,8.457,29.356,5.965,16.614,0.510440329,5.514,18.269,2.758,16.321,0.770541267,3.767244309,3.471207284,3.313202757,-2.9,Unbroken
45,Dave's Ledge,24,3,44,8,21,3D,5.017,24.421,4.982,13.072,35.29,0.786,12.679,4.175,5.356,23.213,13.853,52.536,12.586,35.322,60.611,0,13,2,A,,6.3,2.9,8.09,1.181,22.736,-4.231,-11.742,-0.807,-6.909,-1.86496042,13.067,39.857,8.411,21.555,1.137275539,8.836,28.115,7.604,14.646,-0.727684881,2.775230442,3.050202801,3.181869624,-3.4,Broken
46,Dave's Ledge,30,3,41,7,17,3D,11.316,28.502,6.794,16.764,39.918,0.816,11.796,3.684,4.976,21.727,5.3,14.495,3.314,6.316,22.015,0,13,1,A,,11.7,1.5,9.97,1.292,3.002,-10.5,-16.706,-3.11,-8.678,-0.993217813,4.484,2.699,-0.37,1.71,1.17191404,-6.016,-14.007,-3.48,-6.968,0.178696226,1.591047619,0.60191793,2.328291223,-10.2,Broken
47,E. Sambo,1,1,41,7,12,3D,7.254,24.917,6.83,10.346,30.63,1.324,14.368,3.458,5.773,21.847,3.246,20.597,4.504,9.872,30.526,0,13,1,A,,7.6,2,3.516,2.315,5.368,-5.93,-10.549,-3.372,-1.201,0.506833053,1.922,6.229,1.046,3.053,0.418043289,-4.008,-4.32,-2.326,1.852,0.924876342,1.778920742,3.240894901,1.077844311,-5.6,Broken
48,E. Sambo,2,1,1,1,11,3D,18.308,55.162,15.327,41.144,63.908,33.868,146.715,42.678,160.666,158.086,96.71,376.313,140.272,541.46,340.877,0,13,0,A,,17,32,25.817,117.988,401.188,15.56,91.553,27.351,92.171,-0.161288618,62.842,229.598,97.594,283.2,-0.754981845,78.402,321.151,124.945,375.371,-0.916270462,5.883868895,3.653575634,4.09620928,15,Unbroken
49,E. Sambo,5,1,44,8,13,3D,5.018,22.387,4.095,8.164,24.88,8.005,45.551,15.589,43.634,72.016,37.199,140.53,63.447,184.434,175.912,0,13,0,A,,5.4,7.3,4.069,28.045,120.987,2.987,23.164,11.494,23.976,-2.544914587,29.194,94.979,47.858,92.942,-0.70707674,32.181,118.143,59.352,116.918,-3.251991328,7.754938065,3.253373981,3.671203505,1.9,Unbroken
50,E. Sambo,6,1,62,10,12,3D,9.696,35.646,12.048,25.899,51.325,12.345,55.788,23.105,51.142,79.802,34.388,125.36,48.084,185.533,180.99,0,13,0,A,,9.8,14.8,13.851,28.037,137.449,2.649,20.142,11.057,14.186,-0.544123032,22.043,69.572,24.979,109.412,0.192561927,24.692,89.714,36.036,123.598,-0.351561104,7.603624009,3.15619471,3.633322534,5,Unbroken
51,E. Sambo,8,1,7,3,12,3D,11.972,46.753,10.807,25.238,51.304,24.245,75.491,24.259,78.699,105.292,47.199,184.681,71.068,294.109,238.129,0,13,1,A,,13,17.7,14.431,54.44,223.041,12.273,28.738,13.452,40.009,-1.214301473,22.954,109.19,46.809,168.601,-0.51322401,35.227,137.928,60.261,208.61,-1.727525482,2.34156278,4.756905115,3.915405797,4.7,Broken
52,E. Sambo,9,1,36,6,13,3D,7.704,31.513,10.776,17.923,40.501,18.482,96.349,33.858,112.651,135.512,40.746,165.746,60.072,299.819,250.429,0,13,0,A,,7.3,21.8,7.147,78.793,239.747,10.778,64.836,23.082,71.646,-0.078689956,22.264,69.397,26.214,160.954,-0.086556626,33.042,134.233,49.296,232.6,-0.165246582,6.015587307,3.117005031,4.062496217,14.5,Unbroken
53,E. Sambo,10,1,50,9,10,3D,5.616,21.37,3.465,8.238,27.198,2.89,23.256,35.36,79.308,33.451,15.621,70.699,15.234,47.428,70.592,0,13,1,A,,6.1,2.3,4.773,43.948,32.194,-2.726,1.886,31.895,39.175,-5.50969586,12.731,47.443,-20.126,-11.754,3.983176801,10.005,49.329,11.769,27.421,-1.526519059,-0.6918562,3.726572932,4.930434783,-3.8,Broken
54,E. Sambo,11,2,3,2,11,3D,9.254,60.322,13.375,36.989,66.947,30.093,112.133,25.807,167.689,168.669,32.705,182.845,51.168,246.561,213.609,0,13,0,A,,11.7,33.8,23.614,141.882,195.393,20.839,51.811,12.432,118.268,-0.164994657,2.612,70.712,25.361,53.511,-0.771636621,23.451,122.523,37.793,171.779,-0.936631278,2.48625174,27.0719755,5.224638608,22.1,Unbroken
55,E. Sambo,12,2,44,8,15,3D,9.618,35.863,9.603,22.152,51.685,20.333,81.919,20.362,103.275,124.862,7.339,44.032,13.141,23.986,50.69,0,13,1,A,,9.6,24.2,12.549,82.913,10.845,10.715,46.056,10.759,70.364,0.288569207,-12.994,-37.887,-7.221,-72.068,-0.67239698,-2.279,8.169,3.538,-1.704,-0.383827773,4.298273448,2.915730337,-3.584466871,14.6,Broken
56,E. Sambo,13,2,7,3,10,3D,8.32,42.033,6.521,16.453,39.379,18.927,90.849,27.234,105.986,128.184,58.668,207.725,71.74,295.889,239.347,0,13,0,A,,10.2,20.5,9.932,78.752,224.149,10.607,48.816,20.713,68.82,-3.109923592,39.741,116.876,44.506,145.397,-0.440341422,50.348,165.692,65.219,214.217,-3.550265014,4.602243801,2.940942603,3.290935092,10.3,Unbroken
57,E. Sambo,14,2,36,6,11,3D,10.165,34.572,8.567,23.391,48.934,20.047,89.507,22.984,117.189,139.698,37.488,175.032,63.224,315.99,251.268,0,13,0,A,,12.4,21,14.824,94.205,252.766,9.882,54.935,14.417,79.381,-0.141167214,17.441,85.525,40.24,158.561,-1.125875423,27.323,140.46,54.657,237.942,-1.267042637,5.559097349,4.903675248,5.140723932,8.6,Unbroken
58,E. Sambo,20,2,62,10,13,3D,8.193,36.241,11.039,17.518,44.824,23.365,100.028,29.791,139.942,154.278,2.745,63.011,34.23,49.079,77.953,0,13,1,A,,8.8,25.9,6.479,110.151,14.849,15.172,63.787,18.752,103.672,0.074661705,-20.62,-37.017,4.439,-95.302,-1.5168462,-5.448,26.77,23.191,8.37,-1.442184495,4.204257843,1.795198836,-4.913729809,17.1,Broken
59,E. Sambo,22,3,36,6,12,3D,4.389,17.229,4.179,7.462,22.498,7.4329,50.014,16.858,54.759,85.277,15.353,102.524,54.452,126.384,138.596,0,13,0,A,,5.5,5,3.283,37.901,71.932,3.0439,32.785,12.679,34.618,-1.15597529,7.9201,52.51,37.594,34.031,-1.083948764,10.964,85.295,50.273,68.649,-2.239924054,10.77072177,6.629966793,7.779551259,-0.5,Unbroken
