Colony,Number of Photos,TLE,SA,V,Vcx,Vinter
ESFrag6_T6,82,12.345,55.788,23.105,51.142,28.037
ESFrag7_T6,54,2.525,15.233,3.821,7.767,3.946
ESFrag8_T6,72,24.245,75.491,24.259,78.699,54.44
ESFrag9_T6,77,18.482,96.349,33.858,112.651,78.793
LKFrag10_T6,17,0.491,4.133,0.56,0.98,0.42
LKFrag11_T6,81,21.559,91.812,25.234,147.681,122.447
LKFrag12_T6,59,19.484,67.379,18.801,71.88,53.079
LKFrag13_T6,70,11.418,40.104,10.809,39.369,28.56
LKFrag14_T6,39,1.696,9.875,3.232,4.106,0.874
LKFrag15_T6,49,3.794,19.704,5.53,12.313,6.783
LKFrag16_T6,74,26.617,94.974,28.33,148.006,119.676
LKFrag17_T6,34,1.869,25.59,7.454,16.039,8.585
LKFrag18_T6,21,0.303,3.791,0.586,0.776,0.19
LKFrag19_T6,67,9.038,36.278,12.951,29.823,16.872
LKFrag1_T6,78,21.097,88.973,26.836,133.924,107.088
LKFrag20_T6,79,42.731,170.894,50.069,360.22,310.151
LKFrag21_T6,79,31.492,115.045,27.988,152.931,124.943
LKFrag22_T6,56,1.199,11.972,3.966,4.983,1.017
LKFrag23_T6,77,16.797,55.199,64.578,45.632,-18.946
LKFrag24_T6,77,12.926,43.068,11.493,31.439,19.946
LKFrag25_T6,80,10.596,51.635,7.904,29.535,21.631
LKFrag26_T6,84,20.236,77.253,18.776,82.078,63.302
LKFrag28_T6,36,0.495,7.27,1.299,2.063,0.764
LKFrag29_T6,92,19.397,70.104,21.439,79.73,58.291
LKFrag2_T6,52,1.562,8.847,2.065,3.324,1.259
LKFrag30_T6,77,4.605,27.699,8.23,21.102,12.872
LKFrag4_T6,66,11.304,43.192,9.627,35.669,26.042
LKFrag5_T6,53,2.227,13.339,3.811,6.223,2.412
LKFrag7_T6,16,0.438,2.659,0.443,0.607,0.164
LKFrag8_T6,54,2.095,19.122,5.475,10.659,5.184
LKFrag9_T6,45,0.532,4.106,0.802,1.075,0.273
M32.10_T6,46,1.697,14.261,3.895,6.798,2.903
M32.11_T6,39,0.57,3.992,0.955,1.177,0.222
M32.12_T6,74,10.114,58.596,17.3,75.276,57.976
M32.13_T6,59,10.511,30.354,8.453,22.629,14.176
M32.15_T6,60,1.366,12.557,2.647,5.987,3.34
M32.16_T6,78,10.742,51.407,16.128,54.804,38.676
M32.17_T6,82,27.837,85.619,22.077,103.051,80.974
M32.18_T6,82,24.014,79.878,21.86,105.807,83.947
M32.19_T6,77,15.279,45.513,12.309,40.665,28.356
M32.1_T6,50,34.227,124.509,28.172,212.69,184.518
M32.20_T6,77,29.505,112.541,41.809,201.227,159.418
M32.21_T6,58,15.694,76.375,22.036,96.501,74.465
M32.23_T6,31,1.519,7.949,2.176,3.271,1.095
M32.24_T6,54,32.837,103.996,23.264,147.478,124.214
M32.26_T6,63,24.576,92.505,24.769,116.122,91.353
M32.27_T6,72,34.035,104.141,25.839,128.698,102.859
M32.28_T6,51,14.673,64.002,20.117,74.459,54.342
M32.29_T6,44,4.061,20.43,4.506,11.896,7.39
M32.2_T6,55,20.768,74.506,21.463,103.298,81.835
M32.30_T6,71,28.53,95.727,23.119,120.656,97.537
M32.3_T6,49,21.039,87.873,30.605,128.679,98.074
M32.4_T6,51,21.56,83.819,23.243,126.316,103.073
M32.5_T6,44,15.758,51.814,10.993,53.105,42.112
M32.6_T6,51,17.436,67.543,17.338,80.071,62.733
M32.7_T6,79,8.503,32.116,7.972,30.391,22.419
M32.8_T6,83,35.8,139.914,46.829,259.246,212.417
M32.9_T6,77,14.069,51.173,15.122,56.539,41.417
MSFrag10_T6,83,11.155,34.901,9.429,21.66,12.231
MSFrag11_T6,77,10.501,51.527,16.542,54.494,37.952
MSFrag12_T6,37,0.492,2.459,0.614,0.847,0.233
MSFrag13_T6,52,1.33,18.619,5.532,8.648,3.116
MSFrag14_T6,65,7.818,30.214,8,25.636,17.636
MSFrag15_T6,71,13.589,55.184,14.18,60.51,46.33
MSFrag16_T6,61,4.693,20.852,7.205,12.651,5.446
MSFrag17_T6,83,23.226,85.671,23.116,122.144,99.028
MSFrag18_T6,62,8.878,55.997,21.907,58.512,36.605
MSFrag19_T6,84,18.621,70.46,22.838,77.862,55.024
MSFrag1_T6,19,0.14,0.396,0.009,0.037,0.028
MSFrag20_T6,104,21.564,79.473,25.043,113.769,88.726
MSFrag21_T6,68,8.576,28.029,5.767,13.619,7.852
MSFrag22_T6,76,7.896,29.352,6.751,13.758,7.007
MSFrag23_T6,51,3.729,12.841,2.91,5.516,2.606
MSFrag25_T6,50,1.374,9.286,2.527,3.799,1.272
MSFrag26_T6,36,0.167,1.018,0.022,0.14,0.118
MSFrag2_T6,74,30.554,108.502,25.905,166.564,140.659
MSFrag30_T6,70,13.759,40.412,7.826,28.507,20.681
MSFrag3_T6,55,4.266,23.032,5.683,13.071,7.388
MSFrag4_T6,62,11.679,27.116,6.841,11.782,4.941
MSFrag5_T6,45,1.594,11.815,3.289,4.901,1.612
MSFrag6_T6,42,2.609,23.489,5.583,15.659,10.076
MSFrag7_T6,60,7.052,43.539,12.328,36.133,23.805
MSFrag8_T6,64,23.617,87.375,21.881,113.636,91.755
MSFrag9_T6,57,8.042,39.764,12.483,32.178,19.695
WS10_T6,83,28.592,97.994,31.388,134.087,102.699
WS11_T6,84,24.943,99.174,36.486,134.885,98.399
WS12Try4_T6,29,12.95,56.926,19.329,64.523,45.194
WS13_T6,60,11.904,52.567,19.318,52.576,33.258
WS14_T6,72,16.268,75.784,29.704,92.63,62.926
WS15_T6,83,13.921,53.241,18.791,45.956,27.165
WS16_T6,65,6.939,21.076,6.147,11.351,5.204
WS18_T6,44,18.245,65.946,21.188,74.064,52.876
WS19_T6,41,0.994,10.179,2.747,3.952,1.205
WS1_T6,69,15.019,60.656,16.841,53.778,36.937
WS20_T6,63,13.677,55.896,20.198,61.105,40.907
WS21_T6,57,2.353,5.837,1.118,1.9,0.782
WS24_T6,90,44.364,134.938,32.684,154.089,121.405
WS25_T6,68,15.549,51.539,12.847,44.29,31.443
WS26_T6,77,22.746,105.778,34.878,112.52,77.642
WS27_T6,33,4.047,30.667,8.616,15.884,7.268
WS28_T6,63,10.654,35.756,12.154,25.605,13.451
WS2_T6,59,13.566,54.599,16.641,49.522,32.881
WS30_T6,64,19.199,56.553,13.753,51.933,38.18
WS3_T6,59,21.044,93.458,32.921,119.512,86.591
WS4_T6,75,45.292,159.655,38.998,270.966,231.968
WS5_T6,51,18.362,63.808,14.538,67.933,53.395
WS6_T6,60,33.8279,142.047,45.927,232.763,186.836
WS7_T6,37,7.626,44.598,16.94,43.174,26.234
WS8_T6,61,18.86,81.019,26.489,104.752,78.263
WS9Holding_T6,42,8.069,32.672,8.309,25.964,17.655
BH10_T12,87,54.668,140.854,35.57,331.092,295.522
BH11_T12col,63,9.925,34.685,10.019,25.235,15.216
BH12_T12col,83,10.76,36.226,6.736,24.278,17.542
BH15_T12col,66,14.83,51.76,12.636,44.157,31.521
BH16_T12col,77,17.264,56.62,10.511,45.62,35.109
BH18_T12col,51,6.581,22.317,5.146,12.223,7.077
BH19_T12col,76,10.4,47.581,13.455,38.533,25.078
BH1_T12col,141,42.13,111.925,26.917,156.296,129.379
BH20_T12col,96,20.326,72.549,13.533,72.054,58.521
BH21_T12,66,2.428,15.001,4.117,6.277,2.16
BH22_T12,65,1.328,2.628,0.346,0.574,0.228
BH23_T12,68,2.473,9.615,1.929,3.053,1.124
BH24_T12,87,2.181,10.989,2.496,3.727,1.231
BH27_T12,61,2.545,12.975,3.708,5.608,1.9
BH2_T12col,113,35.335,94.993,24.239,139.274,115.035
BH3_T12col,98,8.108,30.832,7.392,18.638,11.246
BH4_T12col,101,34.596,102.345,33.463,145.38,111.917
BH5_T12col,75,26.377,102.815,30.129,145.354,115.225
BH6_T12,108,61.943,194.736,65.773,357.011,291.238
BH7_T12,64,49.153,145.857,40.048,171.878,131.83
BP10_T12col,129,32.393,96.157,23.193,207.655,184.462
BP11_T12,84,15.923,68.728,32.728,70.249,37.521
BP12_T12,85,35.519,93.572,22.67,191.258,168.588
BP13_T12,87,56.625,171.703,43.834,369.102,325.268
BP14_T12,64,32.094,134.758,52.281,225.52,173.239
BP16_T12,60,28.833,95.691,24.808,116.337,91.529
BP17_T12,32,9.682,23.277,4.594,12.753,8.159
BP20_T12,36,6.237,23.55,5.93,13.044,7.114
BP2_12,81,35.335,94.993,24.239,139.274,115.035
BP22_T12col,83,24.193,86.449,29.553,126.628,97.075
BP23_T12col,70,15.646,38.26,8.276,27.032,18.756
BP24_T12col,57,4.022,13.371,2.757,5.746,2.989
BP26_T12col,93,20.25,66.221,26.493,59.709,33.216
BP27_T12col,121,38.951,127.396,38.319,173.823,135.504
BP28_T12col,46,5.534,13.577,3.631,6.111,2.48
BP29_T12col,142,50.885,179.128,55.561,235.557,179.996
BP30_T12col,56,8.971,27.628,6.344,18.003,11.659
BP3_T12,52,8.108,30.832,7.392,18.638,11.246
BP4_T12,81,34.596,102.345,33.463,145.38,111.917
BP5_T12,112,26.377,102.815,30.129,145.354,115.225
BP6_T12,143,61.943,194.736,65.773,357.011,291.238
BP7_T12col,121,49.153,145.857,40.048,171.878,131.83
BP9_T12col,108,29.173,120.083,38.28,164.435,126.155
DL11_T12,117,9.763,39.427,7.738,23.635,15.897
DL12_T12,174,46.475,227.261,68.313,493.461,425.148
DL13_T12,127,22.778,97.707,32.954,119.956,87.002
DL15_T12,121,12.194,40.772,16.737,30.346,13.609
DL16_T12,129,20.644,69.757,20.448,72.044,51.596
DL17_T12,136,11.792,54.596,15.218,48.698,33.48
DL18_T12,157,30.24,111.514,30.253,177.403,147.15
DL19_T12,185,35.294,124.442,36.902,159.621,122.719
DL1_T12,191,50.884,203.983,72.006,284.433,212.427
DL20_T12,139,23.032,91.851,28.904,105.686,76.782
DL23_T12,142,11.006,46.232,10.127,30.348,20.221
DL24_T12,113,13.853,52.536,12.586,35.322,22.736
DL26_T12,96,7.385,21.382,4.249,10.961,6.712
DL2_T12,94,12.558,45.275,15.423,32.718,17.295
DL30_T12,89,5.3,14.495,3.314,6.316,3.002
DL3_T12,89,5.585,25.609,6.012,16.225,10.213
DL4_T12,156,17.76,70.29,20.467,55.57,35.103
DL5_T12,267,84.104,284.227,70.564,458.475,387.911
DL6_T12,215,34.576,142.187,46.206,184.587,138.381
DL7_T12,274,54.581,192.877,63.136,313.207,250.071
DL8_T12,137,16.511,53.787,13.954,53.435,39.481
DL9_T12,125,7.587,22.196,6.916,13.104,6.188
EDR10_T12,178,34.012,146.759,40.762,174.922,134.16
EDR11_T12,83,5.911,44.9,8.999,32.546,23.547
EDR14_T12,116,14.406,54.817,25.96,53.842,27.882
EDR15_T12,113,7.627,30.165,5.74,14.55,8.81
EDR18_T12,243,49.535,209.866,44.678,308.167,263.489
EDR19_T12,208,6.011,76.812,25.032,56.489,31.457
EDR1_T12,136,25.649,102.569,19.507,97.31,77.803
EDR20_T12,258,55.535,230.382,52.102,410.72,358.618
EDR21_T12,169,32.243,136.874,36.263,177.75,141.487
EDR23_T12,288,125.356,268.198,48.487,561.32,512.833
EDR26_T12,291,107.193,487.266,120.061,1068.912,948.851
EDR27_T12,282,114.061,526.127,149.129,1226.554,1077.425
EDR28_T12,116,43.42,141.236,33.406,333.252,299.846
